mensaje_id|remitente|prioridad|fecha|clave_id|texto_original|texto_cifrado
27|Beatriz|baja|2026-02-27|S02|compara patrones del matriz de equivalencias para comparar equivalencia y fecha|*:}<^,^ <^?,:;). (){ }^?,=% () )>/=!^{);*=^. <^,^ *:}<^,^, )>/=!^{);*=^ $ _)*-^
28|Cesar|alta|2026-02-28|S03|analista revisa control de acceso en el turno vespertino usando lista frecuente|+?+,:$%+ #]&:$+ =/?%#/, [] +==]$/ ]? ], %^#?/ &]$!]#%:?/ ^$+?[/ ,:$%+ {#]=^]?%]
29|Daniela|media|2026-03-01|S04|directorio secreto mantiene archivo y red listos para buscar ataque|</(>:_^(/^ )>:(>_^ $}%_/>%> }(:?/-^ ] (>< #/)_^) &}(} ;+):}( }_}*+>
30|Emilio|baja|2026-03-02|S05|buscar cifrado en panel de auditoria permite medir tabla con criterio alfabetico|?}]/.[ /^#[.!+ @_ -._@( !@ .}!^{+[^. -@[)^{@ )@!^[ {.?(. /+_ /[^{@[^+ .(#.?@{^/+
31|Fabiola|alta|2026-03-03|K01|reporte indica que servidor principal requiere revision durante la noche|kthgkzt ofroeq jxt ltkcorgk hkofeohqs ktjxotkt ktcologf rxkqfzt sq fgeit
32|Gustavo|media|2026-03-04|K02|laboratorio central usa equipo para probar cifrado y descifrado para la prueba final|gmnsomusoks bcduomg yim cpykas amom aosnmo bkxomvs w vcibkxomvs amom gm aoycnm xkdmg
33|Helena|alta|2026-03-05|K03|cuando red interna bloquea acceso se registra tabla con clave|qvpfgd kig afcikfp hndjvip pqqird ri kimarckp cphnp qdf qnpsi
34|Ivan|media|2026-03-06|K04|el modulo compara texto prioridad y ataque dentro de archivo historico|dk lnctkn bnlozqz sdwsn oqhnqhczc x zszptd cdmsqn cd zqbghun ghrsnqhbn
35|Julieta|baja|2026-03-07|K05|canal seguro genera ejemplo de prioridad para busqueda eficiente|xzmzo hvtfil tvmviz vqvnkol wv kirlirwzw kziz yfhjfvwz vurxrvmgv
36|Kevin|alta|2026-03-08|K06|prueba de posicion confirma datos en equipo azul con prioridad media|qsvfcb ef qptjdjpo dpogjsnb ebupt fo frvjqp bavm dpo qsjpsjebe nfejb
37|Laura|media|2026-03-09|K07|equipo rojo compara patrones segun la clave activa despues de cifrar servidor|adtsbp cpvp wpnblcl bljcpxar rautx ml wmlqa lwjsql oarbtar oa wsyclc racqsopc
38|Mateo|baja|2026-03-10|K08|el busqueda del nodo norte clasifica prioridad segun fecha registrada|ub amkhmuoe oub dfof dfjlu ibekryrie gjrfjroeo kupmd yuiqe juprkljeoe
39|Natalia|alta|2026-03-11|K09|filtra resultados del puerta oeste para comparar contador y cifrado|orucaj anbducjmxb mnu ydnacj xnbcn yjaj lxvyjaja lxwcjmxa h lroajmx
40|Oscar|media|2026-03-12|K10|analista revisa sistema de respaldo en modo silencioso usando red frecuente|xfxwudjx hmzudx dudjmax qm hmdnxwql mf alql duwmfyuldl pdxfql hmq chmypmfjm
41|Patricia|baja|2026-03-13|S01|tabla de claves mantiene algoritmo y sistema listos sin repetir palabras|:!@+! $% #+!>%; -!=:(%=% !+&[}(:-[ ? ;(;:%-! +(;:[; ;(= }%]%:(} ]!+!@}!;
42|Rafael|alta|2026-03-14|S02|buscar clave en registro de acceso permite medir contador para proteger la red|&/.*^, *{^!) ); ,)+=.?,: () ^**).: <),}=?) })(=, *:;?^(:, <^,^ <,:?)+), {^ ,)(
43|Silvia|media|2026-03-15|S03|reporte indica que terminal remota bloquea acceso sin usar biblioteca externa|#]!/#%] :?[:=+ @^] %]#.:?+, #]./%+ -,/@^]+ +==]$/ $:? ^$+# -:-,:/%]=+ ](%]#?+
44|Tomas|alta|2026-03-16|S04|estacion de analisis usa indice para probar cifrado y descifrado antes del amanecer|>)_}:/^% <> }%}#/)/) +)} /%</:> &}(} &(^;}( :/,(}<^ ] <>):/,(}<^ }%_>) <># }$}%>:>(
45|Uriel|media|2026-03-17|S05|cuando paquete de datos analiza frecuencia se registra frecuencia con laboratorio|/}._!+ -.=}@{@ !@ !.{+] ._.(^,. #[@/}@_/^. ]@ [@$^]{[. #[@/}@_/^. /+_ (.?+[.{+[^+
46|Veronica|baja|2026-03-18|K01|el modulo compara sistema algoritmo y letra dentro de mensaje urgente|ts dgrxsg egdhqkq lolztdq qsugkozdg n stzkq rtfzkg rt dtflqpt xkutfzt
47|Wendy|alta|2026-03-19|K02|informe final genera ejemplo de longitud para busqueda eficiente|kdxsofc xkdmg zcdcom cjcfags vc gsdzkuyv amom nyipycvm cxkbkcduc
48|Xavier|media|2026-03-20|K03|prueba de laboratorio confirma equivalencia en base de pruebas como caso de prueba|xkvihp gi nphdkpcdkad qdfuakop ijvaspnifqap if hpri gi xkvihpr qdod qprd gi xkvihp
49|Yadira|baja|2026-03-21|K04|repositorio local filtra resultados con prioridad baja para revisar patron|qdonrhsnqhn knbzk ehksqz qdrtkszcnr bnm oqhnqhczc aziz ozqz qduhrzq ozsqnm
50|Zoila|alta|2026-03-22|K05|el resultado del consola de monitoreo separa palabras para el analista|vo ivhfogzwl wvo xlmhloz wv nlmrglivl hvkziz kzozyizh kziz vo zmzorhgz
51|Ana|media|2026-03-23|K06|requiere revision del modulo de busqueda para comparar datos y posicion|sfrvjfsf sfwjtjpo efm npevmp ef cvtrvfeb qbsb dpnqbsbs ebupt z qptjdjpo
52|Bruno|baja|2026-03-24|K07|analista revisa lista de remitentes con memoria controlada usando ordenamiento frecuente|lxlmsrjl caqsrl msrjl oa cansjaxjar wpx nanpcsl wpxjcpmlol trlxop pcoaxlnsaxjp ycawtaxja
53|Carla|alta|2026-03-25|K08|cola de prioridad mantiene mensaje y ordenamiento listos con prioridad alta|ifbe ou gjrfjroeo cedlrudu cudkesu z fjoudecrudlf brklfk ifd gjrfjroeo eble
54|Diego|media|2026-03-26|K09|buscar fecha en motor de frecuencia permite medir frecuencia con tabla inversa|kdblja onlqj nw vxcxa mn oanldnwlrj ynavrcn vnmra oanldnwlrj lxw cjkuj rwenabj
55|Elena|alta|2026-03-27|K10|reporte indica que bitacora cifrada analiza frecuencia con datos del remitente|hmnlhjm ufquyx tpm oujxylhx yuchxqx xfxwuvx chmypmfyux ylf qxjld qmw hmaujmfjm
56|Fernando|media|2026-03-28|S01|indice de palabras usa palabra para probar cifrado y descifrado mediante sustitucion fija|(=$(#% $% ]!+!@}!; <;! ]!+!@}! ]!}! ]}[@!} #(^}!$[ ? $%;#(^}!$[ -%$(!=:% ;<;:(:<#([= ^()!
57|Gabriela|baja|2026-03-29|S02|cuando matriz de equivalencias compara patrones se registra equivalencia con fecha|*/^;(: }^?,=% () )>/=!^{);*=^. *:}<^,^ <^?,:;). .) ,)+=.?,^ )>/=!^{);*=^ *:; _)*-^
58|Hector|alta|2026-03-30|S03|el modulo compara lista longitud y patron dentro de control de acceso|], ./[^,/ =/.!+#+ ,:$%+ ,/?}:%^[ ) !+%#/? []?%#/ [] =/?%#/, [] +==]$/
59|Isabel|media|2026-03-31|S04|directorio secreto genera ejemplo de archivo para busqueda eficiente|</(>:_^(/^ )>:(>_^ .>%>(} >!>$&#^ <> }(:?/-^ &}(} ;+)*+><} >,/:/>%_>
60|Jorge|baja|2026-04-01|S05|prueba de cifrado confirma tabla en panel de auditoria con criterio alfabetico|-[}@?. !@ /^#[.!+ /+_#^[). {.?(. @_ -._@( !@ .}!^{+[^. /+_ /[^{@[^+ .(#.?@{^/+
61|Karla|alta|2026-04-02|K01|servidor principal requiere revision durante la noche y conserva ataque|ltkcorgk hkofeohqs ktjxotkt ktcologf rxkqfzt sq fgeit n egfltkcq qzqjxt
62|Luis|media|2026-04-03|K02|el equipo del laboratorio central registra cambio para la prueba final|cg cpykas vcg gmnsomusoks bcduomg oczkiuom bmfnks amom gm aoycnm xkdmg
63|Mariana|baja|2026-04-04|K03|bloquea acceso del red interna para comparar tabla y clave|hndjvip pqqird gin kig afcikfp xpkp qdoxpkpk cphnp w qnpsi
64|Nicolas|alta|2026-04-05|K04|analista revisa archivo historico por longitud del texto usando texto frecuente|zmzkhrsz qduhrz zqbghun ghrsnqhbn onq knmfhstc cdk sdwsn trzmcn sdwsn eqdbtdmsd
65|Olivia|media|2026-04-06|K05|canal seguro mantiene prioridad y lista listos para reporte de clase|xzmzo hvtfil nzmgrvmv kirlirwzw b orhgz orhglh kziz ivkligv wv xozhv
66|Pablo|alta|2026-04-07|K06|buscar posicion en equipo azul permite medir datos con prioridad media|cvtdbs qptjdjpo fo frvjqp bavm qfsnjuf nfejs ebupt dpo qsjpsjebe nfejb
67|Raquel|media|2026-04-08|K07|reporte indica que equipo rojo compara patrones segun la clave activa|cabpcja sxoswl dta adtsbp cpvp wpnblcl bljcpxar rautx ml wmlqa lwjsql
68|Sergio|baja|2026-04-09|K08|nodo norte usa busqueda para probar cifrado y descifrado segun fecha registrada|dfof dfjlu mke amkhmuoe geje gjfaej iryjeof z oukiryjeof kupmd yuiqe juprkljeoe
69|Teresa|alta|2026-04-10|K09|cuando puerta oeste filtra resultados se registra contador con cifrado|ldjwmx ydnacj xnbcn orucaj anbducjmxb bn anprbcaj lxwcjmxa lxw lroajmx
70|Ulises|media|2026-04-11|K10|el modulo compara red mensaje y remitente dentro de sistema de respaldo|mw alqpwl ylanxhx hmq amfdxkm e hmaujmfjm qmfjhl qm dudjmax qm hmdnxwql
71|Valeria|baja|2026-04-12|S01|tabla de claves genera ejemplo de algoritmo para busqueda eficiente|:!@+! $% #+!>%; &%=%}! %)%-]+[ $% !+&[}(:-[ ]!}! @<;{<%$! %^(#(%=:%
72|Walter|alta|2026-04-13|S02|prueba de clave confirma contador en registro de acceso para proteger la red|<,/)&^ () *{^!) *:;_=,}^ *:;?^(:, ); ,)+=.?,: () ^**).: <^,^ <,:?)+), {^ ,)(
73|Ximena|media|2026-04-14|S03|terminal remota bloquea acceso sin usar biblioteca externa porque contiene remitente|%]#.:?+, #]./%+ -,/@^]+ +==]$/ $:? ^$+# -:-,:/%]=+ ](%]#?+ !/#@^] =/?%:]?] #].:%]?%]
74|Yolanda|baja|2026-04-15|S04|el indice del estacion de analisis sincroniza datos antes del amanecer|># /%</:> <># >)_}:/^% <> }%}#/)/) )/%:(^%/{} <}_^) }%_>) <># }$}%>:>(
75|Zaira|alta|2026-04-16|S05|analiza frecuencia del paquete de datos para comparar frecuencia y laboratorio|._.(^,. #[@/}@_/^. !@( -.=}@{@ !@ !.{+] -.[. /+)-.[.[ #[@/}@_/^. > (.?+[.{+[^+
76|Adrian|media|2026-04-17|K01|analista revisa mensaje urgente en mensajes distintos usando sistema frecuente|qfqsolzq ktcolq dtflqpt xkutfzt tf dtflqptl rolzofzgl xlqfrg lolztdq yktextfzt
77|Beatriz|alta|2026-04-18|K02|informe final mantiene longitud y texto listos para comparar frecuencias|kdxsofc xkdmg fmdukcdc gsdzkuyv w uceus gkiusi amom bsfamomo xocbycdbkmi
78|Cesar|media|2026-04-19|K03|buscar laboratorio en base de pruebas permite medir equivalencia como caso de prueba|hvrqpk nphdkpcdkad if hpri gi xkvihpr xikoaci oigak ijvaspnifqap qdod qprd gi xkvihp
79|Daniela|baja|2026-04-20|K04|reporte indica que repositorio local filtra resultados con prioridad baja|qdonqsd hmchbz ptd qdonrhsnqhn knbzk ehksqz qdrtkszcnr bnm oqhnqhczc aziz
80|Emilio|alta|2026-04-21|K05|consola de monitoreo usa resultado para probar cifrado y descifrado para el analista|xlmhloz wv nlmrglivl fhz ivhfogzwl kziz kilyzi xruizwl b wvhxruizwl kziz vo zmzorhgz
81|Fabiola|media|2026-04-22|K06|cuando modulo de busqueda requiere revision se registra datos con posicion|dvboep npevmp ef cvtrvfeb sfrvjfsf sfwjtjpo tf sfhjtusb ebupt dpo qptjdjpo
82|Gustavo|baja|2026-04-23|K07|el modulo compara ordenamiento archivo y servidor dentro de lista de remitentes|am npotmp wpnblcl pcoaxlnsaxjp lcwisqp z racqsopc oaxjcp oa msrjl oa cansjaxjar
83|Helena|alta|2026-04-24|K08|cola de prioridad genera ejemplo de mensaje para busqueda eficiente|ifbe ou gjrfjroeo puduje usucgbf ou cudkesu geje amkhmuoe uyrirudlu
84|Ivan|media|2026-04-25|K09|prueba de fecha confirma frecuencia en motor de frecuencia con tabla inversa|yadnkj mn onlqj lxworavj oanldnwlrj nw vxcxa mn oanldnwlrj lxw cjkuj rwenabj
85|Julieta|baja|2026-04-26|K10|bitacora cifrada analiza frecuencia con datos del remitente cuando encuentra letra|oujxylhx yuchxqx xfxwuvx chmypmfyux ylf qxjld qmw hmaujmfjm ypxfql mfypmfjhx wmjhx
86|Kevin|alta|2026-04-27|S01|el palabra del indice de palabras ordena mensajes mediante sustitucion fija|%+ ]!+!@}! $%+ (=$(#% $% ]!+!@}!; [}$%=! -%=;!)%; -%$(!=:% ;<;:(:<#([= ^()!
87|Laura|media|2026-04-28|S02|compara patrones del matriz de equivalencias para comparar equivalencia y fecha|*:}<^,^ <^?,:;). (){ }^?,=% () )>/=!^{);*=^. <^,^ *:}<^,^, )>/=!^{);*=^ $ _)*-^
88|Mateo|alta|2026-04-29|S03|analista revisa control de acceso en el turno vespertino usando lista frecuente|+?+,:$%+ #]&:$+ =/?%#/, [] +==]$/ ]? ], %^#?/ &]$!]#%:?/ ^$+?[/ ,:$%+ {#]=^]?%]
89|Natalia|media|2026-04-30|S04|directorio secreto mantiene archivo y red listos para buscar ataque|</(>:_^(/^ )>:(>_^ $}%_/>%> }(:?/-^ ] (>< #/)_^) &}(} ;+):}( }_}*+>
90|Oscar|baja|2026-05-01|S05|buscar cifrado en panel de auditoria permite medir tabla con criterio alfabetico|?}]/.[ /^#[.!+ @_ -._@( !@ .}!^{+[^. -@[)^{@ )@!^[ {.?(. /+_ /[^{@[^+ .(#.?@{^/+
91|Patricia|alta|2026-05-02|K01|reporte indica que servidor principal requiere revision durante la noche|kthgkzt ofroeq jxt ltkcorgk hkofeohqs ktjxotkt ktcologf rxkqfzt sq fgeit
92|Rafael|media|2026-05-03|K02|laboratorio central usa equipo para probar cifrado y descifrado para la prueba final|gmnsomusoks bcduomg yim cpykas amom aosnmo bkxomvs w vcibkxomvs amom gm aoycnm xkdmg
93|Silvia|baja|2026-05-04|K03|cuando red interna bloquea acceso se registra tabla con clave|qvpfgd kig afcikfp hndjvip pqqird ri kimarckp cphnp qdf qnpsi
94|Tomas|alta|2026-05-05|K04|el modulo compara texto prioridad y ataque dentro de archivo historico|dk lnctkn bnlozqz sdwsn oqhnqhczc x zszptd cdmsqn cd zqbghun ghrsnqhbn
95|Uriel|media|2026-05-06|K05|canal seguro genera ejemplo de prioridad para busqueda eficiente|xzmzo hvtfil tvmviz vqvnkol wv kirlirwzw kziz yfhjfvwz vurxrvmgv
96|Veronica|baja|2026-05-07|K06|prueba de posicion confirma datos en equipo azul con prioridad media|qsvfcb ef qptjdjpo dpogjsnb ebupt fo frvjqp bavm dpo qsjpsjebe nfejb
97|Wendy|alta|2026-05-08|K07|equipo rojo compara patrones segun la clave activa despues de cifrar servidor|adtsbp cpvp wpnblcl bljcpxar rautx ml wmlqa lwjsql oarbtar oa wsyclc racqsopc
98|Xavier|media|2026-05-09|K08|el busqueda del nodo norte clasifica prioridad segun fecha registrada|ub amkhmuoe oub dfof dfjlu ibekryrie gjrfjroeo kupmd yuiqe juprkljeoe
99|Yadira|alta|2026-05-10|K09|filtra resultados del puerta oeste para comparar contador y cifrado|orucaj anbducjmxb mnu ydnacj xnbcn yjaj lxvyjaja lxwcjmxa h lroajmx
100|Zoila|media|2026-05-11|K10|analista revisa sistema de respaldo en modo silencioso usando red frecuente|xfxwudjx hmzudx dudjmax qm hmdnxwql mf alql duwmfyuldl pdxfql hmq chmypmfjm
101|Ana|baja|2026-05-12|S01|tabla de claves mantiene algoritmo y sistema listos sin repetir palabras|:!@+! $% #+!>%; -!=:(%=% !+&[}(:-[ ? ;(;:%-! +(;:[; ;(= }%]%:(} ]!+!@}!;
102|Bruno|alta|2026-05-13|S02|buscar clave en registro de acceso permite medir contador para proteger la red|&/.*^, *{^!) ); ,)+=.?,: () ^**).: <),}=?) })(=, *:;?^(:, <^,^ <,:?)+), {^ ,)(
103|Carla|media|2026-05-14|S03|reporte indica que terminal remota bloquea acceso sin usar biblioteca externa|#]!/#%] :?[:=+ @^] %]#.:?+, #]./%+ -,/@^]+ +==]$/ $:? ^$+# -:-,:/%]=+ ](%]#?+
104|Diego|baja|2026-05-15|S04|estacion de analisis usa indice para probar cifrado y descifrado antes del amanecer|>)_}:/^% <> }%}#/)/) +)} /%</:> &}(} &(^;}( :/,(}<^ ] <>):/,(}<^ }%_>) <># }$}%>:>(
105|Elena|alta|2026-05-16|S05|cuando paquete de datos analiza frecuencia se registra frecuencia con laboratorio|/}._!+ -.=}@{@ !@ !.{+] ._.(^,. #[@/}@_/^. ]@ [@$^]{[. #[@/}@_/^. /+_ (.?+[.{+[^+
106|Fernando|media|2026-05-17|K01|el modulo compara sistema algoritmo y letra dentro de mensaje urgente|ts dgrxsg egdhqkq lolztdq qsugkozdg n stzkq rtfzkg rt dtflqpt xkutfzt
107|Gabriela|baja|2026-05-18|K02|informe final genera ejemplo de longitud para busqueda eficiente|kdxsofc xkdmg zcdcom cjcfags vc gsdzkuyv amom nyipycvm cxkbkcduc
108|Hector|alta|2026-05-19|K03|prueba de laboratorio confirma equivalencia en base de pruebas como caso de prueba|xkvihp gi nphdkpcdkad qdfuakop ijvaspnifqap if hpri gi xkvihpr qdod qprd gi xkvihp
109|Isabel|media|2026-05-20|K04|repositorio local filtra resultados con prioridad baja para revisar patron|qdonrhsnqhn knbzk ehksqz qdrtkszcnr bnm oqhnqhczc aziz ozqz qduhrzq ozsqnm
110|Jorge|alta|2026-05-21|K05|el resultado del consola de monitoreo separa palabras para el analista|vo ivhfogzwl wvo xlmhloz wv nlmrglivl hvkziz kzozyizh kziz vo zmzorhgz
111|Karla|media|2026-05-22|K06|requiere revision del modulo de busqueda para comparar datos y posicion|sfrvjfsf sfwjtjpo efm npevmp ef cvtrvfeb qbsb dpnqbsbs ebupt z qptjdjpo
112|Luis|baja|2026-05-23|K07|analista revisa lista de remitentes con memoria controlada usando ordenamiento frecuente|lxlmsrjl caqsrl msrjl oa cansjaxjar wpx nanpcsl wpxjcpmlol trlxop pcoaxlnsaxjp ycawtaxja
113|Mariana|alta|2026-05-24|K08|cola de prioridad mantiene mensaje y ordenamiento listos con prioridad alta|ifbe ou gjrfjroeo cedlrudu cudkesu z fjoudecrudlf brklfk ifd gjrfjroeo eble
114|Nicolas|media|2026-05-25|K09|buscar fecha en motor de frecuencia permite medir frecuencia con tabla inversa|kdblja onlqj nw vxcxa mn oanldnwlrj ynavrcn vnmra oanldnwlrj lxw cjkuj rwenabj
115|Olivia|baja|2026-05-26|K10|reporte indica que bitacora cifrada analiza frecuencia con datos del remitente|hmnlhjm ufquyx tpm oujxylhx yuchxqx xfxwuvx chmypmfyux ylf qxjld qmw hmaujmfjm
116|Pablo|alta|2026-05-27|S01|indice de palabras usa palabra para probar cifrado y descifrado mediante sustitucion fija|(=$(#% $% ]!+!@}!; <;! ]!+!@}! ]!}! ]}[@!} #(^}!$[ ? $%;#(^}!$[ -%$(!=:% ;<;:(:<#([= ^()!
117|Raquel|media|2026-05-28|S02|cuando matriz de equivalencias compara patrones se registra equivalencia con fecha|*/^;(: }^?,=% () )>/=!^{);*=^. *:}<^,^ <^?,:;). .) ,)+=.?,^ )>/=!^{);*=^ *:; _)*-^
118|Sergio|baja|2026-05-29|S03|el modulo compara lista longitud y patron dentro de control de acceso|], ./[^,/ =/.!+#+ ,:$%+ ,/?}:%^[ ) !+%#/? []?%#/ [] =/?%#/, [] +==]$/
119|Teresa|alta|2026-05-30|S04|directorio secreto genera ejemplo de archivo para busqueda eficiente|</(>:_^(/^ )>:(>_^ .>%>(} >!>$&#^ <> }(:?/-^ &}(} ;+)*+><} >,/:/>%_>
120|Ulises|media|2026-05-31|S05|prueba de cifrado confirma tabla en panel de auditoria con criterio alfabetico|-[}@?. !@ /^#[.!+ /+_#^[). {.?(. @_ -._@( !@ .}!^{+[^. /+_ /[^{@[^+ .(#.?@{^/+
121|Valeria|alta|2026-06-01|K01|servidor principal requiere revision durante la noche y conserva ataque|ltkcorgk hkofeohqs ktjxotkt ktcologf rxkqfzt sq fgeit n egfltkcq qzqjxt
122|Walter|media|2026-06-02|K02|el equipo del laboratorio central registra cambio para la prueba final|cg cpykas vcg gmnsomusoks bcduomg oczkiuom bmfnks amom gm aoycnm xkdmg
123|Ximena|baja|2026-06-03|K03|bloquea acceso del red interna para comparar tabla y clave|hndjvip pqqird gin kig afcikfp xpkp qdoxpkpk cphnp w qnpsi
124|Yolanda|alta|2026-06-04|K04|analista revisa archivo historico por longitud del texto usando texto frecuente|zmzkhrsz qduhrz zqbghun ghrsnqhbn onq knmfhstc cdk sdwsn trzmcn sdwsn eqdbtdmsd
125|Zaira|media|2026-06-05|K05|canal seguro mantiene prioridad y lista listos para reporte de clase|xzmzo hvtfil nzmgrvmv kirlirwzw b orhgz orhglh kziz ivkligv wv xozhv
126|Adrian|baja|2026-06-06|K06|buscar posicion en equipo azul permite medir datos con prioridad media|cvtdbs qptjdjpo fo frvjqp bavm qfsnjuf nfejs ebupt dpo qsjpsjebe nfejb
127|Beatriz|alta|2026-06-07|K07|reporte indica que equipo rojo compara patrones segun la clave activa|cabpcja sxoswl dta adtsbp cpvp wpnblcl bljcpxar rautx ml wmlqa lwjsql
128|Cesar|media|2026-06-08|K08|nodo norte usa busqueda para probar cifrado y descifrado segun fecha registrada|dfof dfjlu mke amkhmuoe geje gjfaej iryjeof z oukiryjeof kupmd yuiqe juprkljeoe
129|Daniela|baja|2026-06-09|K09|cuando puerta oeste filtra resultados se registra contador con cifrado|ldjwmx ydnacj xnbcn orucaj anbducjmxb bn anprbcaj lxwcjmxa lxw lroajmx
130|Emilio|alta|2026-06-10|K10|el modulo compara red mensaje y remitente dentro de sistema de respaldo|mw alqpwl ylanxhx hmq amfdxkm e hmaujmfjm qmfjhl qm dudjmax qm hmdnxwql
131|Fabiola|media|2026-06-11|S01|tabla de claves genera ejemplo de algoritmo para busqueda eficiente|:!@+! $% #+!>%; &%=%}! %)%-]+[ $% !+&[}(:-[ ]!}! @<;{<%$! %^(#(%=:%
